site,date,T4_prop,arh_prop,T4_mean,T4_min,T4_max,arh_mean,arh_min,arh_max,probl,logger
1,2019-09-14,100,100,7.116666666666666,1.5,10,83.73333333333333,64.4,93.1,0,a
1,2019-09-15,100,100,4.641666666666667,0.1,8.4,92.83333333333333,79.3,97.3,0,a
1,2019-09-16,100,100,6.333333333333333,4.6,9.1,88.84166666666667,71.6,97.6,0,a
1,2019-09-17,100,100,6.1,3.1,8.2,90.86666666666666,78.6,97.1,0,a
1,2019-09-18,100,100,3.7333333333333334,-1,7.2,79.69166666666666,58.1,94.3,0,a
1,2019-09-19,100,100,1.225,-1.9,4.8,90.70833333333333,78.7,96.7,0,a
1,2019-09-20,100,100,1.9333333333333333,-1.9,6.6,85.775,66.1,96.9,0,a
1,2019-09-21,100,100,1.75,-2.1,6.8,89.84166666666667,72.2,95.4,0,a
1,2019-09-22,100,100,1.7166666666666666,-1.1,5.3,88.825,75.9,96.6,0,a
1,2019-09-23,100,100,1.8499999999999999,-1,4.1,81.41666666666667,67.7,96.5,0,a
1,2019-09-24,100,100,1.85,-1,4.7,79.15833333333333,65.7,90.9,0,a
1,2019-09-25,100,100,2.841666666666667,-1.1,5.4,80.38333333333333,65.3,92.5,0,a
1,2019-09-26,100,100,6.358333333333333,3.7,9.5,89,82,95.5,0,a
1,2019-09-27,100,100,5.883333333333334,2.3,9.3,95.275,93.3,96.8,0,a
1,2019-09-28,100,100,5.841666666666667,1.2,9.8,92.425,82.3,96.8,0,a
1,2019-09-29,100,100,7.275,5.2,10.3,95.51666666666667,87.8,98.3,0,a
1,2019-09-30,100,100,8.325,7.1,9.5,97.58333333333333,95,98.8,0,a
1,2019-10-01,100,100,8.408333333333333,7,9.3,98.275,94.9,99.3,0,a
1,2019-10-02,100,100,2.35,0.1,6,95.2,84.4,99.5,0,a
1,2019-10-03,100,100,0.7166666666666667,-1.2,3.4,82.325,65.1,92.7,0,a
1,2019-10-04,100,100,0.45,0.2,1.1,89.41666666666667,81,96.2,0,a
1,2019-10-05,100,100,0.575,0.1,1.2,93.45,88.6,97.1,0,a
1,2019-10-06,100,100,1.675,0.2,3.8,95.59166666666667,91,98.8,0,a
1,2019-10-07,100,100,2.2083333333333335,0.9,3.7,97.86666666666667,94.3,99,0,a
