site,hydro_year,days_in_hydro_year,first_day_in_hydro_year,last_day_in_hydro_year,snow_days,max_snow_period,n_snow_period,first_snow_date,last_snow_date,last_snow_doy,T1_ft,T2_ft,T3_ft,deep_snow_days_T2,max_deep_snow_period_T2,n_deep_snow_period_T2,first_deep_snow_date_T2,last_deep_snow_date_T2,last_deep_snow_doy_T2,deep_snow_days_T3,max_deep_snow_period_T3,n_deep_snow_period_T3,first_deep_snow_date_T3,last_deep_snow_date_T3,last_deep_snow_doy_T3
1,2020,353,14,366,203,203,1,2019-10-28,2020-05-17,138,0,4,110,199,199,1,2019-11-01,2020-05-17,138,184,172,2,2019-11-10,2020-05-17,138
1,2021,365,1,365,154,154,1,2020-12-09,2021-05-11,131,0,76,62,154,154,1,2020-12-09,2021-05-11,131,145,114,3,2020-11-26,2021-05-11,131
3,2020,353,14,366,191,191,1,2019-10-28,2020-05-05,126,0,164,112,176,159,2,2019-11-09,2020-05-05,126,72,22,5,2019-12-12,2020-04-28,119
3,2021,365,1,365,170,170,1,2020-11-20,2021-05-08,128,32,50,124,145,111,3,2020-11-26,2021-05-08,128,51,51,1,2021-03-06,2021-04-25,115
4,2020,353,14,366,203,203,1,2019-10-28,2020-05-17,138,0,14,86,192,192,1,2019-11-08,2020-05-17,138,183,171,2,2019-11-10,2020-05-17,138
4,2021,365,1,365,154,154,1,2020-12-09,2021-05-11,131,126,30,56,154,154,1,2020-12-09,2021-05-11,131,140,109,3,2020-11-26,2021-05-11,131
6,2020,353,14,366,115,104,2,2019-11-23,2020-04-21,112,0,46,320,115,104,2,2019-11-23,2020-04-21,112,137,54,4,2019-11-10,2020-04-19,110
7,2020,353,14,366,181,161,2,2019-10-28,2020-05-01,122,0,88,142,172,156,2,2019-11-01,2020-05-01,122,155,99,4,2019-11-10,2020-04-30,121
7,2021,365,1,365,141,141,1,2020-12-08,2021-04-27,117,0,56,148,141,141,1,2020-12-08,2021-04-27,117,105,94,2,2020-12-25,2021-04-27,117
8,2020,353,14,366,187,163,2,2019-10-27,2020-05-02,123,96,184,263,176,157,2,2019-11-01,2020-05-02,123,64,21,5,2019-12-12,2020-04-21,112
9,2020,353,14,366,181,166,2,2019-11-05,2020-05-05,126,0,270,163,181,166,2,2019-11-05,2020-05-05,126,164,152,2,2019-11-08,2020-05-04,125
9,2021,365,1,365,180,170,2,2020-11-09,2021-05-08,128,40,66,178,170,170,1,2020-11-20,2021-05-08,128,100,100,1,2021-01-18,2021-04-27,117
10,2020,353,14,366,189,189,1,2019-10-28,2020-05-03,124,0,78,180,185,185,1,2019-11-01,2020-05-03,124,162,125,3,2019-11-09,2020-05-02,123
10,2021,365,1,365,147,147,1,2020-12-08,2021-05-03,123,0,104,134,147,147,1,2020-12-08,2021-05-03,123,118,96,3,2020-11-26,2021-04-30,120
11,2020,353,14,366,191,191,1,2019-10-28,2020-05-05,126,4,62,153,180,180,1,2019-11-08,2020-05-05,126,160,128,3,2019-11-10,2020-05-05,126
12,2020,353,14,366,189,189,1,2019-10-28,2020-05-03,124,0,154,302,177,177,1,2019-11-09,2020-05-03,124,157,116,3,2019-11-10,2020-05-02,123
12,2021,365,1,365,160,160,1,2020-11-25,2021-05-03,123,46,54,164,154,106,2,2020-11-25,2021-05-03,123,108,93,2,2020-12-20,2021-04-26,116
13,2020,353,14,366,185,162,2,2019-10-28,2020-05-01,122,38,100,247,185,162,2,2019-10-28,2020-05-01,122,67,22,5,2019-11-10,2020-03-13,73
13,2021,365,1,365,163,163,1,2020-11-20,2021-05-01,121,10,66,196,163,163,1,2020-11-20,2021-05-01,121,85,85,1,2021-01-23,2021-04-17,107
14,2020,353,14,366,172,172,1,2019-11-17,2020-05-06,127,0,0,248,172,172,1,2019-11-17,2020-05-06,127,154,154,1,2019-12-04,2020-05-05,126
14,2021,365,1,365,168,168,1,2020-11-21,2021-05-07,127,14,24,103,168,168,1,2020-11-21,2021-05-07,127,106,106,1,2021-01-17,2021-05-02,122
15,2020,353,14,366,186,186,1,2019-10-29,2020-05-01,122,40,180,175,184,184,1,2019-10-31,2020-05-01,122,138,123,2,2019-12-12,2020-04-30,121
16,2020,353,14,366,205,205,1,2019-10-28,2020-05-19,140,0,60,782,192,192,1,2019-11-10,2020-05-19,140,181,168,2,2019-11-10,2020-05-19,140
18,2020,353,14,366,189,189,1,2019-10-28,2020-05-03,124,0,92,98,176,176,1,2019-11-10,2020-05-03,124,94,28,6,2019-11-10,2020-04-28,119
18,2021,365,1,365,168,168,1,2020-11-24,2021-05-10,130,28,58,82,155,113,3,2020-11-26,2021-05-10,130,90,66,2,2021-01-24,2021-05-03,123
19,2020,353,14,366,198,198,1,2019-10-28,2020-05-12,133,0,104,148,180,166,2,2019-11-08,2020-05-12,133,154,66,5,2019-11-10,2020-05-09,130
19,2021,365,1,365,173,173,1,2020-11-20,2021-05-11,131,0,106,96,158,114,2,2020-11-26,2021-05-11,131,74,74,1,2021-02-26,2021-05-10,130
20,2020,353,14,366,102,102,1,2020-01-20,2020-04-30,121,26,138,270,102,102,1,2020-01-20,2020-04-30,121,154,94,3,2019-11-08,2020-05-01,122
20,2021,365,1,365,112,112,1,2021-01-11,2021-05-02,122,0,20,84,112,112,1,2021-01-11,2021-05-02,122,147,107,3,2020-11-26,2021-05-03,123
21,2020,353,14,366,186,131,2,2019-10-28,2020-05-04,125,0,44,118,170,131,3,2019-11-10,2020-05-04,125,157,145,2,2019-11-10,2020-05-04,125
21,2021,365,1,365,152,152,1,2020-12-08,2021-05-08,128,0,54,104,152,152,1,2020-12-08,2021-05-08,128,105,105,1,2021-01-24,2021-05-08,128
22,2020,353,14,366,190,190,1,2019-10-28,2020-05-04,125,102,100,162,184,159,2,2019-11-01,2020-05-04,125,112,52,5,2019-11-10,2020-04-27,118
23,2020,353,14,366,165,165,1,2019-11-23,2020-05-05,126,0,224,209,165,165,1,2019-11-23,2020-05-05,126,153,62,4,2019-11-10,2020-05-03,124
23,2021,365,1,365,165,154,2,2020-11-21,2021-05-10,130,0,50,164,161,150,2,2020-11-21,2021-05-10,130,112,112,1,2021-01-18,2021-05-09,129
24,2020,353,14,366,162,126,3,2019-10-28,2020-04-09,100,78,110,350,78,46,3,2019-10-31,2020-02-18,49,9,9,1,2019-11-10,2019-11-18,322
25,2020,353,14,366,181,181,1,2019-10-28,2020-04-25,116,40,148,182,137,90,4,2019-11-10,2020-04-23,114,63,20,5,2019-11-10,2020-02-18,49
26,2020,353,14,366,187,187,1,2019-10-28,2020-05-01,122,44,88,150,175,175,1,2019-11-08,2020-04-30,121,87,28,5,2019-11-10,2020-03-13,73
28,2020,353,14,366,183,165,2,2019-10-28,2020-05-05,126,6,156,287,159,159,1,2019-11-29,2020-05-05,126,143,58,3,2019-12-05,2020-04-28,119
28,2021,365,1,365,133,111,3,2020-12-08,2021-04-26,116,122,46,196,133,111,3,2020-12-08,2021-04-26,116,94,94,1,2021-01-18,2021-04-21,111
29,2020,353,14,366,153,115,3,2019-10-28,2020-05-16,137,0,14,556,137,115,2,2019-11-23,2020-05-16,137,179,138,3,2019-11-10,2020-05-15,136
29,2021,365,1,365,170,170,1,2020-11-24,2021-05-12,132,30,22,52,145,115,3,2020-11-26,2021-05-12,132,121,110,2,2020-11-26,2021-05-12,132
30,2020,353,14,366,173,173,1,2019-11-16,2020-05-06,127,6,136,178,170,160,2,2019-11-16,2020-05-06,127,161,149,2,2019-11-08,2020-05-01,122
31,2020,353,14,366,183,183,1,2019-10-28,2020-04-27,118,0,128,166,170,170,1,2019-11-10,2020-04-27,118,110,48,5,2019-11-10,2020-04-21,112
31,2021,365,1,365,153,153,1,2020-12-08,2021-05-09,129,0,20,122,153,153,1,2020-12-08,2021-05-09,129,105,105,1,2021-01-24,2021-05-08,128
32,2020,353,14,366,163,163,1,2019-11-23,2020-05-03,124,32,184,174,163,163,1,2019-11-23,2020-05-03,124,152,143,2,2019-11-10,2020-05-02,123
33,2020,353,14,366,156,131,3,2019-11-05,2020-05-03,124,6,82,202,156,131,3,2019-11-05,2020-05-03,124,178,178,1,2019-11-08,2020-05-03,124
33,2021,365,1,365,143,129,2,2020-12-08,2021-05-03,123,12,86,120,143,129,2,2020-12-08,2021-05-03,123,132,101,3,2020-11-26,2021-05-04,124
34,2020,353,14,366,179,156,2,2019-10-28,2020-04-26,117,0,152,164,178,155,2,2019-10-28,2020-04-25,116,63,21,5,2019-11-10,2020-03-13,73
34,2021,365,1,365,159,159,1,2020-11-21,2021-04-28,118,32,172,146,146,100,3,2020-11-25,2021-04-27,117,90,58,2,2021-01-25,2021-04-25,115
35,2020,353,14,366,115,56,3,2019-10-28,2020-05-16,137,0,16,522,115,56,3,2019-10-28,2020-05-16,137,189,189,1,2019-11-10,2020-05-16,137
35,2021,365,1,365,142,128,2,2020-12-10,2021-05-12,132,0,0,62,142,128,2,2020-12-10,2021-05-12,132,153,115,3,2020-11-26,2021-05-12,132
36,2020,353,14,366,128,128,1,2020-01-09,2020-05-15,136,0,20,618,128,128,1,2020-01-09,2020-05-15,136,184,168,2,2019-11-10,2020-05-13,134
36,2021,365,1,365,155,155,1,2020-12-09,2021-05-12,132,2,42,156,155,155,1,2020-12-09,2021-05-12,132,144,114,3,2020-11-26,2021-05-11,131
37,2020,353,14,366,182,182,1,2019-11-07,2020-05-06,127,0,48,310,175,160,2,2019-11-07,2020-05-06,127,179,160,2,2019-11-03,2020-05-06,127
37,2021,365,1,365,136,121,2,2020-12-09,2021-05-05,125,0,94,162,136,121,2,2020-12-09,2021-05-05,125,133,102,3,2020-11-26,2021-04-30,120
38,2020,353,14,366,200,200,1,2019-10-28,2020-05-14,135,182,214,147,196,196,1,2019-11-01,2020-05-14,135,150,108,3,2019-12-08,2020-05-09,130
39,2020,353,14,366,178,178,1,2019-10-28,2020-04-22,113,74,130,259,161,144,2,2019-11-09,2020-04-20,111,65,21,5,2019-11-10,2020-02-18,49
40,2020,353,14,366,184,161,2,2019-10-28,2020-05-01,122,0,112,215,175,156,2,2019-11-01,2020-05-01,122,156,116,3,2019-11-10,2020-04-30,121
41,2020,353,14,366,191,191,1,2019-10-28,2020-05-05,126,176,208,273,190,190,1,2019-10-29,2020-05-05,126,98,26,7,2019-11-10,2020-04-28,119
41,2021,365,1,365,167,167,1,2020-11-20,2021-05-05,125,71,83,202,163,163,1,2020-11-24,2021-05-05,125,94,94,1,2021-01-23,2021-04-26,116
42,2020,353,14,366,162,137,2,2019-10-28,2020-04-07,98,0,122,254,133,60,3,2019-11-08,2020-03-27,87,25,15,2,2019-11-10,2019-12-26,360
42,2021,365,1,365,132,132,1,2020-12-08,2021-04-18,108,0,78,148,122,91,2,2020-12-08,2021-04-18,108,80,49,3,2020-11-26,2021-04-16,106
43,2020,353,14,366,137,93,3,2019-10-28,2020-03-25,85,0,186,270,115,93,2,2019-11-29,2020-03-25,85,55,21,4,2019-12-12,2020-02-18,49
44,2020,353,14,366,176,176,1,2019-10-28,2020-04-20,111,0,136,202,173,173,1,2019-10-31,2020-04-20,111,86,22,5,2019-11-10,2020-03-13,73
45,2020,353,14,366,32,20,2,2020-02-28,2020-04-18,109,0,30,316,32,20,2,2020-02-28,2020-04-18,109,125,89,3,2019-11-08,2020-03-20,80
45,2021,365,1,365,18,18,1,2021-04-14,2021-05-01,121,0,0,132,18,18,1,2021-04-14,2021-05-01,121,133,94,3,2020-11-26,2021-04-27,117
46,2020,353,14,366,177,162,2,2019-10-28,2020-05-01,122,0,100,146,165,156,2,2019-11-03,2020-05-01,122,138,51,4,2019-11-09,2020-04-27,118
46,2021,365,1,365,144,144,1,2020-12-08,2021-04-30,120,0,68,132,144,144,1,2020-12-08,2021-04-30,120,113,99,2,2020-12-24,2021-04-26,116
47,2020,353,14,366,190,190,1,2019-10-28,2020-05-04,125,0,44,124,183,161,2,2019-11-01,2020-05-04,125,169,103,3,2019-11-10,2020-05-04,125
47,2021,365,1,365,123,123,1,2021-01-06,2021-05-08,128,0,22,130,123,123,1,2021-01-06,2021-05-08,128,134,111,2,2020-12-16,2021-05-08,128
48,2020,353,14,366,200,200,1,2019-10-28,2020-05-14,135,0,48,122,189,189,1,2019-11-08,2020-05-14,135,174,162,2,2019-11-10,2020-05-14,135
48,2021,365,1,365,155,155,1,2020-12-08,2021-05-11,131,0,52,84,149,114,2,2020-12-08,2021-05-11,131,99,76,2,2021-01-24,2021-05-11,131
49,2020,353,14,366,164,116,2,2019-10-28,2020-05-18,139,0,42,312,160,116,2,2019-11-01,2020-05-18,139,185,173,2,2019-11-10,2020-05-19,140
49,2021,365,1,365,140,128,2,2020-12-09,2021-05-14,134,0,16,114,140,128,2,2020-12-09,2021-05-14,134,155,116,3,2020-11-26,2021-05-13,133
50,2020,353,14,366,154,127,3,2019-10-28,2020-04-08,99,0,180,312,129,119,2,2019-11-01,2020-03-26,86,64,21,5,2019-12-12,2020-03-13,73
50,2021,365,1,365,142,142,1,2020-11-24,2021-04-14,104,0,148,142,98,87,2,2020-12-28,2021-04-14,104,79,79,1,2021-01-25,2021-04-13,103
51,2020,353,14,366,185,166,2,2019-10-28,2020-05-07,128,4,18,88,179,166,2,2019-11-01,2020-05-07,128,182,170,2,2019-11-10,2020-05-16,137
51,2021,365,1,365,152,141,2,2020-12-09,2021-05-11,131,18,86,64,152,141,2,2020-12-09,2021-05-11,131,145,114,3,2020-11-26,2021-05-11,131
53,2020,353,14,366,173,157,2,2019-10-28,2020-04-27,118,0,112,152,151,151,1,2019-11-29,2020-04-27,118,63,21,5,2019-12-12,2020-04-21,112
53,2021,365,1,365,146,146,1,2020-12-08,2021-05-02,122,0,94,148,130,103,2,2020-12-12,2021-04-30,120,93,93,1,2021-01-24,2021-04-26,116
54,2020,353,14,366,139,117,2,2019-10-28,2020-03-18,78,24,190,344,85,53,3,2019-11-08,2020-02-18,49,15,15,1,2019-12-12,2019-12-26,360
54,2021,365,1,365,138,138,1,2020-11-24,2021-04-10,100,4,114,158,101,80,3,2020-11-26,2021-04-07,97,25,16,2,2021-02-27,2021-03-30,89
55,2020,353,14,366,165,156,2,2019-11-05,2020-04-26,117,122,94,230,156,156,1,2019-11-23,2020-04-26,117,23,14,2,2019-12-12,2020-01-20,20
