site,date,T1_prop,T2_prop,T3_prop,moist_prop,T1_mean,T1_min,T1_max,T2_mean,T2_min,T2_max,T3_mean,T3_min,T3_max,moist_mean,moist_min,moist_max,probl
1,2019-09-14,100,100,100,100,10.7425,10.06,11.43,8.906666666666666,5.88,10,7.152708333333333,1.63,9.69,23.722916666666666,23.4,24.1,0
1,2019-09-15,100,100,100,100,9.113854166666666,8.68,9.93,7.045,4.75,8.94,4.9490625,0.19,9.07,24.772916666666667,23.9,28.2,0
1,2019-09-16,100,100,100,100,8.888645833333333,8.68,9.06,7.6190625,6.75,8.88,6.370625,4.57,9,26.994791666666668,26.1,28.5,0
1,2019-09-17,100,100,100,100,8.832604166666666,8.56,9.06,7.6570833333333335,5.69,8.81,6.259895833333333,2.75,8.5,25.861458333333335,25.2,26.3,0
1,2019-09-18,100,100,100,100,8.003645833333334,7.56,8.49,5.910104166666667,3.44,7.62,3.7727083333333336,-0.68,7.94,25.371875,25.1,25.7,0
1,2019-09-19,100,100,100,100,6.798229166666666,6.43,7.49,4.1609375,2.75,6.25,1.5252083333333333,-1.31,5.82,26.361458333333335,25.4,27.6,0
1,2019-09-20,100,100,100,100,6.071458333333333,5.62,6.43,3.8780208333333333,1.94,6.38,1.8408333333333333,-1.75,7.07,27.583333333333332,27.3,27.8,0
1,2019-09-21,100,100,100,100,5.7609375,5.31,6.12,3.8421875,2.06,6.25,1.943125,-1.56,6.82,27.454166666666666,27.2,27.9,0
1,2019-09-22,100,100,100,100,5.5134375,5.24,5.87,3.4160416666666666,2.12,5.25,1.4165625,-1.18,5.13,27.239583333333332,27.1,27.5,0
1,2019-09-23,100,100,100,100,5.09125,4.81,5.43,3.2628125,1.88,4.62,1.61375,-1.37,4.44,26.922916666666666,26.7,27.2,0
1,2019-09-24,100,100,100,100,5.067395833333333,4.81,5.31,3.3505208333333334,2,5.12,1.6830208333333334,-0.93,5.44,26.692708333333332,26.6,26.8,0
1,2019-09-25,100,100,100,100,4.827604166666666,4.49,5.18,3.6055208333333333,1.88,5.12,2.457291666666667,-0.93,5.57,26.33125,26.1,27.7,0
1,2019-09-26,100,100,100,100,5.787395833333333,5.18,6.43,6.051041666666666,4.38,8.19,6.116875,3.38,10.19,25.984375,25.8,26.3,0
1,2019-09-27,100,100,100,100,6.445937499999999,6.06,6.87,6.281145833333333,4.31,8.25,5.842395833333334,2.19,9.57,26.133333333333333,25.8,26.6,0
1,2019-09-28,100,100,100,100,6.527916666666666,5.99,7.06,6.278854166666667,3.88,8.31,5.826145833333333,1.44,9.75,26.385416666666668,26.1,26.9,0
1,2019-09-29,100,100,100,100,7.041770833333333,6.81,7.31,7.2136458333333335,6,8.75,7.139375,4.94,10.44,26.440625,25.9,27.8,0
