site,year,month,day_frac_T1,day_frac_T2,day_frac_T3,day_frac_moist,T1_mean,T1_absmax,T1_absmin,T1_meanmax,T1_meanmin,T2_mean,T2_absmax,T2_absmin,T2_meanmax,T2_meanmin,T3_mean,T3_absmax,T3_absmin,T3_meanmax,T3_meanmin,moist_sd,moist_cv,moist_med,moist_mean,moist_absmax,moist_absmin,T1_TDD,T1_GDD3,T1_GDD5,T1_FDD,T1_TDD_days,T1_GDD3_days,T1_GDD5_days,T1_FDD_days,T2_TDD,T2_GDD3,T2_GDD5,T2_FDD,T2_TDD_days,T2_GDD3_days,T2_GDD5_days,T2_FDD_days,T3_TDD,T3_GDD3,T3_GDD5,T3_FDD,T3_TDD_days,T3_GDD3_days,T3_GDD5_days,T3_FDD_days
1,2019,9,0.5666666666666667,0.5666666666666667,0.5666666666666667,0.5666666666666667,6.95,11.43,4.49,7.38,6.56,5.68,10,1.88,7.4,3.94,4.36,10.44,-1.75,7.9,1.08,1.03,0.04,26.4,26.3,28.5,23.4,118.11,118.11,113.28,0,17,17,16,0,96.57,96.57,71.05,0,17,17,10,0,74.16,61.68,52.96,0,17,10,8,0
1,2019,10,1,1,1,1,3.84,8.18,1.18,4.25,3.51,2.6,9,-2,3.76,1.53,1.14,9.38,-6.62,3.38,-0.98,1.47,0.05,29.1,29.6,40.1,27.3,119.02,106.03,25.38,0,31,25,4,0,83.2,44.19,19.85,-2.47,28,9,3,3,51.92,31.5,26.84,-16.43,20,5,4,11
1,2019,11,1,1,1,1,1.34,1.68,1.06,1.38,1.32,0.56,0.88,-0.38,0.65,0.46,-1.12,0,-4.81,-0.7,-1.66,1.12,0.04,29.3,29.1,31.5,27.5,40.31,0,0,0,30,0,0,0,16.69,0,0,-0.01,29,0,0,1,0,0,0,-33.56,0,0,0,30
1,2019,12,1,1,1,0.9032258064516129,1.16,1.31,0.93,1.17,1.15,0.71,0.81,0.38,0.75,0.68,-0.32,-0.06,-1.56,-0.2,-0.45,0.34,0.01,29.4,29.5,30.8,28.9,35.94,0,0,0,31,0,0,0,22.04,0,0,0,31,0,0,0,0,0,0,-9.99,0,0,0,31
1,2020,1,1,1,1,0,0.87,1.06,0.68,0.88,0.86,0.6,0.75,0.31,0.63,0.57,-0.4,-0.06,-1.25,-0.28,-0.52,NA,NA,NA,NA,NA,NA,26.92,0,0,0,31,0,0,0,18.64,0,0,0,31,0,0,0,0,0,0,-12.4,0,0,0,31
1,2020,2,1,1,1,0,0.66,0.68,0.56,0.68,0.65,0.49,0.56,0.38,0.51,0.47,-0.33,-0.12,-0.93,-0.29,-0.39,NA,NA,NA,NA,NA,NA,19.21,0,0,0,29,0,0,0,14.3,0,0,0,29,0,0,0,0,0,0,-9.66,0,0,0,29
1,2020,3,1,1,1,0,0.54,0.56,0.43,0.55,0.52,0.43,0.5,0.25,0.44,0.41,-0.41,-0.12,-1.06,-0.34,-0.47,NA,NA,NA,NA,NA,NA,16.77,0,0,0,31,0,0,0,13.31,0,0,0,31,0,0,0,0,0,0,-12.63,0,0,0,31
1,2020,4,1,1,1,0,0.47,0.56,0.43,0.48,0.45,0.42,0.5,0.38,0.42,0.41,-0.24,-0.06,-0.68,-0.2,-0.25,NA,NA,NA,NA,NA,NA,14.07,0,0,0,30,0,0,0,12.46,0,0,0,30,0,0,0,0,0,0,-7.17,0,0,0,30
1,2020,5,1,1,1,0.3548387096774194,2.6,8.68,0.43,3,2.24,3.54,16.5,0.38,5.5,1.99,4.35,26.75,-1,8.79,0.7,1.34,0.04,35.8,36.2,39.7,34.2,80.55,65.61,57.12,0,31,10,8,0,109.8,99.52,96.12,0,31,12,11,0,136.7,135.05,131.61,-1.94,17,13,12,14
1,2020,6,1,1,1,1,11.79,15.31,7.56,12.49,11.16,13.9,22.62,6.75,17.87,11.08,16.05,33.69,3.63,26.3,9.49,1.42,0.04,33,32.6,39,28.4,353.85,353.85,353.85,0,30,30,30,0,416.86,416.86,416.86,0,30,30,30,0,481.6,481.6,481.6,0,30,30,30,0
1,2020,7,1,1,1,1,13.01,15.81,11.43,13.54,12.53,13.87,18.88,10.38,15.87,12.1,14.22,25.5,7.19,20.13,10.1,1.22,0.03,35,35.1,42.2,32.8,403.19,403.19,403.19,0,31,31,31,0,430.07,430.07,430.07,0,31,31,31,0,440.75,440.75,440.75,0,31,31,31,0
